pid,label,_date,object_type,location,description,comment section,order,layout,collection,thumbnail,full,manifest
obj1,Psychology Collection 1,3/20/23,Photo,Psychology Building,A collection of flyers and advertisements in one of the floors of the psychology building,Showing flyers/ed dedicated to one department: psychology,00,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj2,Psychology Collection 2,3/20/23,Photo,Psychology Building,A collection of flyers and advertisements in one of the floors of the psychology building,Showing flyers/ed dedicated to one department: psychology,01,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj2/full/1140,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json
obj3,Kinesiology Study,3/20/23,Flyer,Luddy Building,"A flyer for the department of kinesiology in need of volunteers for a running study, with an incentive ",This flyer is for any student who is physically active. The department running the study is the Kinesiology Department. This is the only visible flyer that was not strictly dedicated to Luddy Students.,02,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj3/full/1140,/0/default.jpg",/img/derivatives/iiif/obj3/manifest.json
obj4,IT Job Oppurtunity,3/20/23,Job Advertisement ,Luddy Building,A advertisement for a paid IT internship opportunity  ,"This ad is intended for those in Luddy, because the job requires those in the school with these certain skills and abilities.",03,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj4/full/1140,/0/default.jpg",/img/derivatives/iiif/obj4/manifest.json
obj5,Startup Job Oppurtunities,3/20/23,Flyer,Luddy Building,A flyer looking for more members to join a tech startup company,"A flyer for Luddy students looking for people to join a tech startup company, because students in this school have the knowledge for this job.",04,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj5/full/1140,/0/default.jpg",/img/derivatives/iiif/obj5/manifest.json
obj6,Student's Work Article,3/20/23,Article Link,Outlook Email,An email about an out-of-state student's work,Showcases a student in the College of Arts + Sciences and the work you can do with being in the school. ,05,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj6/full/1140,/0/default.jpg",/img/derivatives/iiif/obj6/manifest.json
obj7,Astronomy Research Article,3/20/23,Article Link,Outlook Email,An email about an IU astronomer's research of the Big Bang Theory,A showcase of a student's research and findings. Sometimes these emails are on any major but more often than not they are focused around the STEM majors.,06,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj7/full/1140,/0/default.jpg",/img/derivatives/iiif/obj7/manifest.json
obj8,MCAT Prep,3/20/23,Flyer,Simon Hall,"MCAT prep and exam poster, found  in all life sciences buildings","Builidings that are dedicated to STEM contain many flyers for future possibilites in Medical School. These are used to show someone a path after undergraduate graduation. The only three paths often put forward to those in Life Sciences are: Medical School, Graduate School, or Industry.",07,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj8/full/1140,/0/default.jpg",/img/derivatives/iiif/obj8/manifest.json
obj9,Avalon Medical School,3/20/23,Flyer,Simon Hall,Advertisement for medical school at Avalon University,A travel study in Curacao to gain experience working in the medical field available to students wanting to go into medicine.,08,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj9/full/1140,/0/default.jpg",/img/derivatives/iiif/obj9/manifest.json
obj10,Northwestern Law School,3/20/23,Information Flyer,Chemistry Building,"Law School advertisement, offering a different professional track than medical school or graduate school.",Northwestern Pritzker School of Law advertisement from the Walter Center informing students in the College of Arts + Sciences that representatives will talk about law school. ,09,Divisions_item,Divisions,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
